t,ambient
0.000000,22.000000
1.000000,22.078531
2.000000,22.157008
3.000000,22.235377
4.000000,22.313585
5.000000,22.391579
6.000000,22.469303
7.000000,22.546707
8.000000,22.623735
9.000000,22.700336
10.000000,22.776457
11.000000,22.852046
12.000000,22.927051
13.000000,23.001421
14.000000,23.075104
15.000000,23.148050
16.000000,23.220210
17.000000,23.291533
18.000000,23.361971
19.000000,23.431476
20.000000,23.500000
21.000000,23.567496
22.000000,23.633917
23.000000,23.699219
24.000000,23.763356
25.000000,23.826284
26.000000,23.887961
27.000000,23.948344
28.000000,24.007392
29.000000,24.065064
30.000000,24.121320
31.000000,24.176123
32.000000,24.229434
33.000000,24.281218
34.000000,24.331438
35.000000,24.380060
36.000000,24.427051
37.000000,24.472379
38.000000,24.516012
39.000000,24.557920
40.000000,24.598076
41.000000,24.636451
42.000000,24.673020
43.000000,24.707756
44.000000,24.740636
45.000000,24.771639
46.000000,24.800741
47.000000,24.827924
48.000000,24.853170
49.000000,24.876459
50.000000,24.897777
51.000000,24.917110
52.000000,24.934443
53.000000,24.949765
54.000000,24.963065
55.000000,24.974335
56.000000,24.983566
57.000000,24.990752
58.000000,24.995889
59.000000,24.998972
60.000000,25.000000
61.000000,24.998972
62.000000,24.995889
63.000000,24.990752
64.000000,24.983566
65.000000,24.974335
66.000000,24.963065
67.000000,24.949765
68.000000,24.934443
69.000000,24.917110
70.000000,24.897777
71.000000,24.876459
72.000000,24.853170
73.000000,24.827924
74.000000,24.800741
75.000000,24.771639
76.000000,24.740636
77.000000,24.707756
78.000000,24.673020
79.000000,24.636451
80.000000,24.598076
81.000000,24.557920
82.000000,24.516012
83.000000,24.472379
84.000000,24.427051
85.000000,24.380060
86.000000,24.331438
87.000000,24.281218
88.000000,24.229434
89.000000,24.176123
90.000000,24.121320
91.000000,24.065064
92.000000,24.007392
93.000000,23.948344
94.000000,23.887961
95.000000,23.826284
96.000000,23.763356
97.000000,23.699219
98.000000,23.633917
99.000000,23.567496
100.000000,23.500000
101.000000,23.431476
102.000000,23.361971
103.000000,23.291533
104.000000,23.220210
105.000000,23.148050
106.000000,23.075104
107.000000,23.001421
108.000000,22.927051
109.000000,22.852046
110.000000,22.776457
111.000000,22.700336
112.000000,22.623735
113.000000,22.546707
114.000000,22.469303
115.000000,22.391579
116.000000,22.313585
117.000000,22.235377
118.000000,22.157008
119.000000,22.078531
120.000000,22.000000
