t,demand
0.000000,1.000000
1.000000,1.000000
2.000000,1.000000
3.000000,1.000000
4.000000,1.000000
5.000000,1.000000
6.000000,1.000000
7.000000,1.000000
8.000000,1.000000
9.000000,1.000000
10.000000,1.000000
11.000000,1.000000
12.000000,1.000000
13.000000,1.000000
14.000000,1.000000
15.000000,1.000000
16.000000,1.000000
17.000000,1.000000
18.000000,1.000000
19.000000,1.000000
20.000000,1.000000
21.000000,1.038222
22.000000,1.145778
23.000000,1.312000
24.000000,1.526222
25.000000,1.777778
26.000000,2.056000
27.000000,2.350222
28.000000,2.649778
29.000000,2.944000
30.000000,3.222222
31.000000,3.473778
32.000000,3.688000
33.000000,3.854222
34.000000,3.961778
35.000000,4.000000
36.000000,3.961778
37.000000,3.854222
38.000000,3.688000
39.000000,3.473778
40.000000,3.222222
41.000000,2.944000
42.000000,2.649778
43.000000,2.350222
44.000000,2.056000
45.000000,1.777778
46.000000,1.526222
47.000000,1.312000
48.000000,1.145778
49.000000,1.038222
50.000000,1.000000
51.000000,1.000000
52.000000,1.000000
53.000000,1.000000
54.000000,1.000000
55.000000,1.000000
56.000000,1.000000
57.000000,1.000000
58.000000,1.000000
59.000000,1.000000
60.000000,1.000000
61.000000,1.000000
62.000000,1.000000
63.000000,1.000000
64.000000,1.000000
65.000000,1.000000
66.000000,1.014500
67.000000,1.056000
68.000000,1.121500
69.000000,1.208000
70.000000,1.312500
71.000000,1.432000
72.000000,1.563500
73.000000,1.704000
74.000000,1.850500
75.000000,2.000000
76.000000,2.149500
77.000000,2.296000
78.000000,2.436500
79.000000,2.568000
80.000000,2.687500
81.000000,2.792000
82.000000,2.878500
83.000000,2.944000
84.000000,2.985500
85.000000,3.000000
86.000000,2.985500
87.000000,2.944000
88.000000,2.878500
89.000000,2.792000
90.000000,2.687500
91.000000,2.568000
92.000000,2.436500
93.000000,2.296000
94.000000,2.149500
95.000000,2.000000
96.000000,1.850500
97.000000,1.704000
98.000000,1.563500
99.000000,1.432000
100.000000,1.312500
101.000000,1.208000
102.000000,1.121500
103.000000,1.056000
104.000000,1.014500
105.000000,1.000000
106.000000,1.000000
107.000000,1.000000
108.000000,1.000000
109.000000,1.000000
110.000000,1.000000
111.000000,1.000000
112.000000,1.000000
113.000000,1.000000
114.000000,1.000000
115.000000,1.000000
116.000000,1.000000
117.000000,1.000000
118.000000,1.000000
119.000000,1.000000
120.000000,1.000000
