u,A_eff
0.000000,0.020000
0.015873,0.020577
0.031746,0.022296
0.047619,0.025139
0.063492,0.029087
0.079365,0.034122
0.095238,0.040222
0.111111,0.047365
0.126984,0.055529
0.142857,0.064690
0.158730,0.074823
0.174603,0.085904
0.190476,0.097905
0.206349,0.110799
0.222222,0.124557
0.238095,0.139150
0.253968,0.154548
0.269841,0.170719
0.285714,0.187630
0.301587,0.205249
0.317460,0.223540
0.333333,0.242469
0.349206,0.261999
0.365079,0.282094
0.380952,0.302713
0.396825,0.323820
0.412698,0.345373
0.428571,0.367330
0.444444,0.389651
0.460317,0.412291
0.476190,0.435208
0.492063,0.458354
0.507937,0.481686
0.523810,0.505155
0.539683,0.528713
0.555556,0.552312
0.571429,0.575902
0.587302,0.599431
0.603175,0.622848
0.619048,0.646100
0.634921,0.669133
0.650794,0.691892
0.666667,0.714321
0.682540,0.736364
0.698413,0.757963
0.714286,0.779059
0.730159,0.799592
0.746032,0.819502
0.761905,0.838727
0.777778,0.857205
0.793651,0.874871
0.809524,0.891662
0.825397,0.907511
0.841270,0.922352
0.857143,0.936118
0.873016,0.948740
0.888889,0.960149
0.904762,0.970275
0.920635,0.979045
0.936508,0.986387
0.952381,0.992229
0.968254,0.996495
0.984127,0.999111
1.000000,1.000000
