u,A_eff
0.000000,0.020000
0.015873,0.020733
0.031746,0.022900
0.047619,0.026455
0.063492,0.031350
0.079365,0.037539
0.095238,0.044974
0.111111,0.053608
0.126984,0.063394
0.142857,0.074286
0.158730,0.086236
0.174603,0.099197
0.190476,0.113122
0.206349,0.127964
0.222222,0.143676
0.238095,0.160212
0.253968,0.177523
0.269841,0.195563
0.285714,0.214286
0.301587,0.233643
0.317460,0.253588
0.333333,0.274074
0.349206,0.295054
0.365079,0.316481
0.380952,0.338307
0.396825,0.360486
0.412698,0.382971
0.428571,0.405714
0.444444,0.428669
0.460317,0.451789
0.476190,0.475026
0.492063,0.498334
0.507937,0.521666
0.523810,0.544974
0.539683,0.568211
0.555556,0.591331
0.571429,0.614286
0.587302,0.637029
0.603175,0.659514
0.619048,0.681693
0.634921,0.703519
0.650794,0.724946
0.666667,0.745926
0.682540,0.766412
0.698413,0.786357
0.714286,0.805714
0.730159,0.824437
0.746032,0.842477
0.761905,0.859788
0.777778,0.876324
0.793651,0.892036
0.809524,0.906878
0.825397,0.920803
0.841270,0.933764
0.857143,0.945714
0.873016,0.956606
0.888889,0.966392
0.904762,0.975026
0.920635,0.982461
0.936508,0.988650
0.952381,0.993545
0.968254,0.997100
0.984127,0.999267
1.000000,1.000000
